M + R -> Pn; 22000,,,,,,,,,,,,,,,,,,,,,,,,,,,
M + Pn -> Pn; 22000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 R -> 2 D; 2.5e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pn + R -> D + PnD; 1e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Pn -> 2 PnD; 1e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Pn -> PnDPn; 1e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuI + RX -> CuII + R; 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuII + R -> CuI + RX; 1e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuI + PnX -> CuII + Pn; 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuII + Pn -> CuI + PnX; 1e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2,,,,,,,,,,,,,,,,,,,,,,,,,,
M:,dy_1/dt = -22000*y_1*y_2 - 22000*y_1*y_5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pn:,dy_2/dt = 22000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 6*y_6*y_8,,,,,,,,,,,,,,,,,,,,,,,,,,
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5,,,,,,,,,,,,,,,,,,,,,,,,,,
PnDPn:,dy_4/dt = 100000000.0*y_2**2,,,,,,,,,,,,,,,,,,,,,,,,,,
R:,dy_5/dt = -22000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 6*y_6*y_9,,,,,,,,,,,,,,,,,,,,,,,,,,
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 6*y_6*y_8 - 6*y_6*y_9,,,,,,,,,,,,,,,,,,,,,,,,,,
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 6*y_6*y_8 + 6*y_6*y_9,,,,,,,,,,,,,,,,,,,,,,,,,,
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 6*y_6*y_8,,,,,,,,,,,,,,,,,,,,,,,,,,
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 6*y_6*y_9,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_Pn:,dy_10/dt = 22000*y_1*y_2 + 22000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 100000000.0*y_10*y_7 + 6*y_14*y_6,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_total:,dy_13/dt = 44000*y_1*y_10 + 22000*y_1*y_2 + 22000*y_1*y_5 + 200000000.0*y_10**2,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_PnX:,dy_14/dt = 100000000.0*y_10*y_7 - 6*y_14*y_6,,,,,,,,,,,,,,,,,,,,,Conservation,,,,,
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%),,Cu,M,X,radical,slope,"Mn,th"
0,0,5.5,0,0,0,0,0.00275,0.00275,0,0.0275,0,0,0,0,0,0,0,0,1,0,,0.0055,5.5,0.03575,0,,0
1,6.59E-09,5.499800358,5.10E-10,6.31E-11,2.57E-11,1.14E-09,0.002749992,0.002750008,0.000138292,0.0273617,7.38E-10,9.11E-11,7.42E-11,0.000376772,0.000199641,3.63E-05,3.63E-05,124.2814542,1.307293873,2.44E-05,,0.0055,5.5,0.03575,1.64997E-09,,0.62498816
1.206792641,7.94E-09,5.499759074,5.11E-10,7.62E-11,3.11E-11,1.14E-09,0.00274999,0.00275001,0.000166802,0.027333188,7.40E-10,1.10E-10,8.98E-11,0.000455045,0.000240925,4.38E-05,4.38E-05,124.3460673,1.307651886,2.94E-05,,0.0055,5.5,0.03575,1.64996E-09,,0.754228363
1.456348478,9.57E-09,5.499709254,5.13E-10,9.20E-11,3.76E-11,1.14E-09,0.002749989,0.002750011,0.000201169,0.02729882,7.43E-10,1.33E-10,1.09E-10,0.000549668,0.000290745,5.29E-05,5.29E-05,124.4240624,1.308083069,3.54E-05,,0.0055,5.5,0.03575,1.64996E-09,,0.910193022
1.757510625,1.15E-08,5.499649132,5.14E-10,1.11E-10,4.56E-11,1.14E-09,0.002749987,0.002750013,0.000242584,0.027257403,7.47E-10,1.61E-10,1.32E-10,0.000664097,0.000350867,6.38E-05,6.38E-05,124.5182213,1.308602194,4.27E-05,,0.0055,5.5,0.03575,1.64996E-09,,1.098407888
2.120950888,1.39E-08,5.499576578,5.16E-10,1.34E-10,5.52E-11,1.13E-09,0.002749984,0.002750016,0.00029248,0.027207505,7.51E-10,1.95E-10,1.60E-10,0.000802536,0.000423421,7.70E-05,7.70E-05,124.6319068,1.309226923,5.14E-05,,0.0055,5.5,0.03575,1.64996E-09,,1.325541092
2.559547923,1.67E-08,5.499489022,5.19E-10,1.62E-10,6.70E-11,1.13E-09,0.002749981,0.002750019,0.000352571,0.02714741,7.57E-10,2.35E-10,1.94E-10,0.00097011,0.000510977,9.29E-05,9.29E-05,124.7691869,1.309978314,6.19E-05,,0.0055,5.5,0.03575,1.64995E-09,,1.599639242
3.088843596,2.01E-08,5.499383362,5.22E-10,1.96E-10,8.13E-11,1.13E-09,0.002749978,0.002750022,0.000424911,0.027075067,7.63E-10,2.85E-10,2.36E-10,0.001173072,0.000616636,0.000112116,0.000112122,124.9349822,1.31088144,7.46E-05,,0.0055,5.5,0.03575,1.64995E-09,,1.93041228
3.72759372,2.42E-08,5.499255856,5.25E-10,2.38E-10,9.88E-11,1.12E-09,0.002749974,0.002750026,0.000511952,0.026988022,7.71E-10,3.45E-10,2.87E-10,0.001419079,0.000744143,0.000135299,0.000135308,125.1352506,1.31196604,8.97E-05,,0.0055,5.5,0.03575,1.64994E-09,,2.329577154
4.498432669,2.91E-08,5.499101986,5.30E-10,2.88E-10,1.20E-10,1.12E-09,0.002749969,0.002750031,0.000616618,0.02688335,7.80E-10,4.19E-10,3.50E-10,0.00171752,0.000898012,0.000163275,0.000163289,125.3772083,1.313267277,0.000107864,,0.0055,5.5,0.03575,1.64994E-09,,2.811272424
5.428675439,3.50E-08,5.498916304,5.35E-10,3.48E-10,1.47E-10,1.11E-09,0.002749963,0.002750037,0.000742385,0.026757578,7.91E-10,5.08E-10,4.28E-10,0.002079952,0.001083694,0.000197036,0.000197055,125.669606,1.314826495,0.0001296,,0.0055,5.5,0.03575,1.64993E-09,3.62989E-05,3.392558415
6.551285569,4.20E-08,5.498692234,5.41E-10,4.22E-10,1.79E-10,1.11E-09,0.002749956,0.002750044,0.000893372,0.026606584,8.04E-10,6.17E-10,5.24E-10,0.002520644,0.001307764,0.000237776,0.000237804,126.023059,1.316692095,0.000155578,,0.0055,5.5,0.03575,1.64992E-09,3.62987E-05,4.094020516
7.906043211,5.04E-08,5.498421842,5.49E-10,5.11E-10,2.19E-10,1.10E-09,0.002749947,0.002750053,0.001074441,0.026425506,8.20E-10,7.51E-10,6.44E-10,0.003057292,0.001578156,0.000286938,0.000286979,126.4504587,1.318920321,0.000186563,,0.0055,5.5,0.03575,1.64991E-09,3.62986E-05,4.94049683
9.540954763,6.03E-08,5.498095554,5.58E-10,6.21E-10,2.69E-10,1.09E-09,0.002749937,0.002750063,0.001291304,0.026208633,8.40E-10,9.15E-10,7.95E-10,0.003711937,0.001904444,0.000346263,0.000346323,126.9674887,1.321575871,0.00022343,,0.0055,5.5,0.03575,1.6499E-09,3.62984E-05,5.96195571
11.51395399,7.21E-08,5.497701821,5.69E-10,7.54E-10,3.32E-10,1.08E-09,0.002749925,0.002750075,0.001550631,0.025949294,8.64E-10,1.12E-09,9.84E-10,0.004512186,0.002298176,0.000417851,0.000417938,127.5932569,1.324732302,0.000267171,,0.0055,5.5,0.03575,1.64988E-09,3.62983E-05,7.194553903
13.89495494,8.60E-08,5.497226709,5.81E-10,9.17E-10,4.11E-10,1.07E-09,0.002749911,0.002750089,0.001860151,0.02563976,8.92E-10,1.36E-09,1.22E-09,0.00549281,0.002773287,0.000504235,0.000504362,128.3510812,1.328472011,0.000318885,,0.0055,5.5,0.03575,1.64987E-09,3.6298E-05,8.681912285
16.76832937,1.02E-07,5.49665341,5.97E-10,1.12E-09,5.11E-10,1.05E-09,0.002749894,0.002750106,0.002228737,0.025271157,9.26E-10,1.67E-09,1.53E-09,0.0066979,0.003346586,0.000608471,0.000608656,129.2694825,1.332885374,0.000379771,,0.0055,5.5,0.03575,1.64985E-09,3.62978E-05,10.47665362
20.23589648,1.21E-07,5.495961644,6.15E-10,1.36E-09,6.38E-10,1.03E-09,0.002749874,0.002750126,0.002666456,0.024833418,9.68E-10,2.06E-09,1.93E-09,0.008183756,0.004038351,0.000734246,0.000734516,130.3834275,1.338068772,0.000451095,,0.0055,5.5,0.03575,1.64982E-09,3.62974E-05,12.64225575
24.42053095,1.44E-07,5.495126956,6.36E-10,1.66E-09,8.02E-10,1.01E-09,0.002749851,0.002750149,0.003184552,0.024315299,1.02E-09,2.53E-09,2.45E-09,0.010022823,0.004873038,0.000886008,0.000886401,131.7359139,1.344120802,0.000534147,,0.0055,5.5,0.03575,1.64979E-09,3.6297E-05,15.25528431
29.47051703,1.69E-07,5.494119848,6.62E-10,2.03E-09,1.01E-09,9.88E-10,0.002749825,0.002750175,0.003795335,0.02370449,1.08E-09,3.13E-09,3.14E-09,0.012309079,0.005880144,0.001069118,0.00106969,133.3799931,1.351135961,0.000630159,,0.0055,5.5,0.03575,1.64976E-09,3.62966E-05,18.40808176
35.56480306,1.98E-07,5.492904749,6.92E-10,2.49E-09,1.29E-09,9.58E-10,0.002749795,0.002750205,0.004511917,0.022987878,1.15E-09,3.88E-09,4.06E-09,0.015165463,0.007095242,0.001290046,0.001290878,135.3813767,1.359194841,0.000740201,,0.0055,5.5,0.03575,1.64972E-09,3.62961E-05,22.21200493
42.9193426,2.32E-07,5.49143877,7.26E-10,3.05E-09,1.66E-09,9.23E-10,0.00274976,0.00275024,0.005347742,0.022152018,1.24E-09,4.83E-09,5.30E-09,0.0187542,0.008561219,0.001556587,0.0015578,137.8218199,1.368349665,0.00086504,,0.0055,5.5,0.03575,1.64968E-09,3.62955E-05,26.80132085
51.79474679,2.68E-07,5.489670205,7.67E-10,3.75E-09,2.16E-09,8.83E-10,0.002749722,0.002750278,0.006315829,0.021183893,1.34E-09,6.04E-09,7.01E-09,0.023291213,0.010329781,0.001878145,0.00187991,140.8035356,1.37860407,0.001004957,,0.0055,5.5,0.03575,1.64963E-09,3.62948E-05,32.33789252
62.50551925,3.09E-07,5.487536737,8.13E-10,4.61E-09,2.83E-09,8.37E-10,0.002749679,0.002750321,0.00742765,0.02007203,1.47E-09,7.57E-09,9.40E-09,0.029066371,0.012463244,0.002266048,0.002268619,144.4549939,1.389886107,0.001159548,,0.0055,5.5,0.03575,1.64958E-09,3.6294E-05,39.01681067
75.43120063,3.52E-07,5.484963273,8.65E-10,5.67E-09,3.74E-09,7.84E-10,0.002749633,0.002750367,0.008691568,0.018808065,1.63E-09,9.53E-09,1.28E-08,0.036472053,0.015036703,0.00273395,0.002737694,148.93863,1.402013675,0.001327532,,0.0055,5.5,0.03575,1.64953E-09,3.62931E-05,47.07315733
91.0298178,3.97E-07,5.481859353,9.24E-10,6.98E-09,4.99E-09,7.25E-10,0.002749584,0.002750416,0.010110809,0.017388775,1.81E-09,1.20E-08,1.76E-08,0.046043597,0.018140616,0.003298299,0.003303751,154.4610607,1.414653772,0.001506605,,0.0055,5.5,0.03575,1.64947E-09,3.62921E-05,56.79012053
109.8541142,4.44E-07,5.478116044,9.90E-10,8.57E-09,6.72E-09,6.60E-10,0.002749533,0.002750467,0.011680987,0.015818546,2.04E-09,1.52E-08,2.45E-08,0.05851678,0.021883914,0.003978901,0.003986838,161.2866437,1.427279071,0.00169344,,0.0055,5.5,0.03575,1.6494E-09,3.62911E-05,68.50871834
132.5711366,4.89E-07,5.473602225,1.06E-09,1.05E-08,9.11E-09,5.89E-10,0.00274948,0.00275052,0.013387366,0.014112115,2.31E-09,1.93E-08,3.46E-08,0.074909699,0.026397718,0.004799595,0.00481115,169.7556481,1.439127283,0.001883885,,0.0055,5.5,0.03575,1.64934E-09,3.62899E-05,82.63943351
159.985872,5.33E-07,5.468160147,1.14E-09,1.28E-08,1.24E-08,5.13E-10,0.002749428,0.002750572,0.015202237,0.012297192,2.63E-09,2.45E-08,4.95E-08,0.096639636,0.031839777,0.005789064,0.005805886,180.30822,1.449176916,0.002073469,,0.0055,5.5,0.03575,1.64927E-09,3.62887E-05,99.6761079
193.0697729,5.71E-07,5.461600143,1.21E-09,1.56E-08,1.70E-08,4.35E-10,0.002749377,0.002750623,0.017083064,0.010416314,3.02E-09,3.11E-08,7.15E-08,0.125690111,0.038399751,0.006981792,0.007006279,193.5154718,1.456158068,0.002258275,,0.0055,5.5,0.03575,1.64921E-09,3.62874E-05,120.2124966
232.9951811,6.05E-07,5.453694353,1.29E-09,1.88E-08,2.33E-08,3.56E-10,0.002749328,0.002750672,0.018972313,0.008527015,3.50E-09,3.95E-08,1.04E-07,0.164849829,0.046305499,0.008419208,0.00845485,210.1190298,1.458619003,0.002436067,,0.0055,5.5,0.03575,1.64915E-09,3.62861E-05,144.9619319
281.1768698,6.31E-07,5.444169284,1.37E-09,2.25E-08,3.19E-08,2.80E-10,0.002749281,0.002750719,0.02080003,0.006699251,4.07E-09,5.01E-08,1.53E-07,0.218054546,0.055830509,0.010151039,0.010202912,231.0791621,1.455069945,0.002607441,,0.0055,5.5,0.03575,1.64909E-09,3.62847E-05,174.7805947
339.3221772,6.50E-07,5.432697053,1.44E-09,2.68E-08,4.34E-08,2.09E-10,0.002749235,0.002750765,0.022490093,0.005009142,4.75E-09,6.35E-08,2.25E-07,0.290875976,0.067302653,0.012236899,0.012312387,257.6286495,1.444216579,0.002776683,,0.0055,5.5,0.03575,1.64903E-09,3.62834E-05,210.6949337
367.3469388,6.56E-07,5.427176464,1.47E-09,2.88E-08,4.93E-08,1.82E-10,0.002749215,0.002750785,0.023144347,0.004354868,5.08E-09,7.02E-08,2.65E-07,0.329322463,0.072823196,0.013240643,0.013329082,270.880696,1.437223275,0.002849335,,0.0055,5.5,0.03575,1.64901E-09,3.62827E-05,227.9773907
409.4915062,6.63E-07,5.418885129,1.50E-09,3.17E-08,5.86E-08,1.48E-10,0.002749187,0.002750813,0.023970264,0.003528923,5.58E-09,8.06E-08,3.32E-07,0.391220238,0.081114453,0.014748158,0.014857994,291.3256453,1.425262381,0.002951882,,0.0055,5.5,0.03575,1.64897E-09,3.62818E-05,253.93379
494.1713361,6.71E-07,5.402264386,1.55E-09,3.72E-08,7.83E-08,9.69E-11,0.002749134,0.002750866,0.025184784,0.002314349,6.57E-09,1.02E-07,4.89E-07,0.530323906,0.097735016,0.017770112,0.017929896,334.0913989,1.398220845,0.003144163,,0.0055,5.5,0.03575,1.64891E-09,3.62804E-05,305.9657815
596.3623317,6.75E-07,5.382275328,1.59E-09,4.35E-08,1.04E-07,5.84E-11,0.002749073,0.002750927,0.026106368,0.001392705,7.77E-09,1.31E-07,7.20E-07,0.724170923,0.117723814,0.021404486,0.021636884,388.2140729,1.364127696,0.003366259,,0.0055,5.5,0.03575,1.64883E-09,3.6279E-05,368.5424371
719.685673,6.77E-07,5.358252363,1.62E-09,5.07E-08,1.35E-07,3.17E-11,0.002749,0.002751,0.026743128,0.000755872,9.21E-09,1.69E-07,1.06E-06,0.99550133,0.141746403,0.025772298,0.026110222,456.3029653,1.325029155,0.003631138,,0.0055,5.5,0.03575,1.64874E-09,3.62775E-05,443.74742
734.6938776,6.77E-07,5.355336235,1.62E-09,5.16E-08,1.39E-07,2.95E-11,0.002748991,0.002751009,0.026797203,0.000701788,9.38E-09,1.74E-07,1.10E-06,1.031288375,0.14466248,0.026302503,0.026654601,464.7505215,1.320544928,0.003663371,,0.0055,5.5,0.03575,1.64873E-09,3.62771E-05,452.8764911
868.5113738,6.78E-07,5.329406124,1.63E-09,5.91E-08,1.75E-07,1.52E-11,0.002748912,0.002751088,0.027136441,0.000362471,1.09E-08,2.21E-07,1.54E-06,1.376646347,0.170592101,0.031017068,0.031508282,541.2021282,1.283666363,0.003951383,,0.0055,5.5,0.03575,1.64863E-09,3.62755E-05,534.0518841
1048.113134,6.78E-07,5.294803968,1.64E-09,6.91E-08,2.23E-07,6.31E-12,0.002748805,0.002751195,0.027348932,0.000149873,1.30E-08,2.94E-07,2.25E-06,1.913506781,0.205193477,0.037308369,0.038022136,645.9168813,1.242902669,0.004339615,,0.0055,5.5,0.03575,1.64849E-09,3.62736E-05,642.3755044
1102.040816,6.78E-07,5.284458708,1.64E-09,7.20E-08,2.38E-07,4.85E-12,0.002748773,0.002751227,0.027383718,0.000115055,1.36E-08,3.18E-07,2.48E-06,2.090888369,0.215538477,0.039189326,0.039977899,677.6194194,1.232444098,0.004456452,,0.0055,5.5,0.03575,1.64845E-09,3.62727E-05,674.7618118
1264.855217,6.79E-07,5.253349081,1.65E-09,8.09E-08,2.82E-07,2.19E-12,0.002748676,0.002751324,0.027446769,5.19E-05,1.55E-08,3.97E-07,3.26E-06,2.671095006,0.246647244,0.044845622,0.045882299,773.6391833,1.205093789,0.004809622,,0.0055,5.5,0.03575,1.64833E-09,3.62709E-05,772.1519121
1469.387755,6.79E-07,5.214530848,1.65E-09,9.21E-08,3.37E-07,8.12E-13,0.002748554,0.002751446,0.027479366,1.92E-05,1.78E-08,5.09E-07,4.38E-06,3.493567393,0.285464241,0.051903482,0.05329897,894.3312025,1.17805147,0.00525375,,0.0055,5.5,0.03575,1.64818E-09,3.6269E-05,893.6741552
1526.417967,6.79E-07,5.203758957,1.65E-09,9.52E-08,3.53E-07,6.16E-13,0.00274852,0.00275148,0.027483967,1.46E-05,1.84E-08,5.43E-07,4.72E-06,3.741183231,0.296235758,0.053862008,0.055366852,927.9218753,1.171669285,0.005377627,,0.0055,5.5,0.03575,1.64813E-09,3.62682E-05,927.3960516
1836.734694,6.79E-07,5.145539808,1.65E-09,1.12E-07,4.37E-07,1.38E-13,0.002748334,0.002751666,0.027495079,3.25E-06,2.19E-08,7.50E-07,6.79E-06,5.225227709,0.354452632,0.064447308,0.066617809,1109.830117,1.14349417,0.006051731,,0.0055,5.5,0.03575,1.6479E-09,3.62649E-05,1109.653743
