"Macromol. Theory Simul. 2008, 17, 359–375, Table 3",,,,,,The solvent was not specified in the literature. ,,,,,,,,,,,,,,
M + R -> Pn; 12000,,,,,,,,,,,,,,,,,,,,
M + Pn -> Pn; 900,,,,,,,,,,,,,,,,,,,,
2 R -> 2 D; 2.5e+09,,,,,,,,,,,,,,,,,,,,
Pn + R -> D + PnD; 1e+08,,,,,,,,,,,,,,,,,,,,
2 Pn -> 2 PnD; 1e+07,,,,,,,,,,,,,,,,,,,,
2 Pn -> PnDPn; 1e+08,,,,,,,,,,,,,,,,,,,,
CuI + RX -> CuII + R; 0.79,,,,,,,,,,,,,,,,,,,,
CuII + R -> CuI + RX; 8.4e+06,,,,,,,,,,,,,,,,,,,,
CuI + PnX -> CuII + Pn; 0.79,,,,,,,,,,,,,,,,,,,,
CuII + Pn -> CuI + PnX; 8.4e+06,,,,,,,,,,,,,,,,,,,,
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2,,,,,,,,,,,,,,,,,,,
M:,dy_1/dt = -900*y_1*y_2 - 12000*y_1*y_5,,,,,,,,,,,,,,,,,,,
Pn:,dy_2/dt = 12000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 8400000.0*y_2*y_7 + 0.79*y_6*y_8,,,,,,,,,,,,,,,,,,,
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5,,,,,,,,,,,,,,,,,,,
PnDPn:,dy_4/dt = 100000000.0*y_2**2,,,,,,,,,,,,,,,,,,,
R:,dy_5/dt = -12000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 8400000.0*y_5*y_7 + 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
CuI:,dy_6/dt = 8400000.0*y_2*y_7 + 8400000.0*y_5*y_7 - 0.79*y_6*y_8 - 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
CuII:,dy_7/dt = -8400000.0*y_2*y_7 - 8400000.0*y_5*y_7 + 0.79*y_6*y_8 + 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
PnX:,dy_8/dt = 8400000.0*y_2*y_7 - 0.79*y_6*y_8,,,,,,,,,,,,,,,,,,,
RX:,dy_9/dt = 8400000.0*y_5*y_7 - 0.79*y_6*y_9,,,,,,,,,,,,,,,,,,,
M1_Pn:,dy_10/dt = 900*y_1*y_2 + 12000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 8400000.0*y_10*y_7 + 0.79*y_14*y_6,,,,,,,,,,,,,,,,,,,
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5,,,,,,,,,,,,,,,,,,,
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2,,,,,,,,,,,,,,,,,,,
M2_total:,dy_13/dt = 1800*y_1*y_10 + 900*y_1*y_2 + 12000*y_1*y_5 + 200000000.0*y_10**2,,,,,,,,,,,,,,,,,,,
M1_PnX:,dy_14/dt = 8400000.0*y_10*y_7 - 0.79*y_14*y_6,,,,,,,,,,,,,,,,,,,
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0,0,5,0,0,0,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,1,0
1,8.64E-07,4.996495314,4.63E-07,1.05E-05,4.98E-05,7.91E-09,0.02488851,0.00011149,0.000370971,0.024517539,2.51E-06,9.02E-05,0.000859316,0.059107071,0.002552657,0.000700937,0.000701183,845.3973181,2.077728269,0.444073859
1.206792641,1.00E-06,4.995981621,4.33E-07,1.14E-05,5.40E-05,7.86E-09,0.024879224,0.000120776,0.000459562,0.024419662,2.23E-06,9.50E-05,0.000903068,0.064247056,0.003018118,0.000803676,0.000803999,796.6153341,2.090320776,0.481342185
1.456348478,1.16E-06,4.995395596,4.04E-07,1.24E-05,5.83E-05,7.81E-09,0.024869425,0.000130575,0.000567161,0.024302264,1.99E-06,9.98E-05,0.000946923,0.069770079,0.003555737,0.000920881,0.000921305,751.3526477,2.100444537,0.520651599
1.757510625,1.34E-06,4.994726746,3.78E-07,1.34E-05,6.29E-05,7.75E-09,0.024859083,0.000140917,0.000697491,0.024161592,1.77E-06,0.000104602,0.000990963,0.07572034,0.004175917,0.001054651,0.001055207,709.4371207,2.10804203,0.562126116
2.120950888,1.55E-06,4.993963032,3.53E-07,1.44E-05,6.77E-05,7.69E-09,0.024848164,0.000151836,0.000854932,0.023993232,1.58E-06,0.000109504,0.001035286,0.082148601,0.004890597,0.001207394,0.001208123,670.6915368,2.113088684,0.605901444
2.559547923,1.79E-06,4.993090651,3.30E-07,1.56E-05,7.28E-05,7.61E-09,0.024836631,0.000163369,0.001044614,0.023792018,1.42E-06,0.000114477,0.00108,0.089113404,0.005713454,0.00138187,0.001382825,634.9412741,2.11559064,0.652126186
3.088843596,2.07E-06,4.992093833,3.08E-07,1.68E-05,7.82E-05,7.52E-09,0.024824444,0.000175556,0.001272501,0.023551943,1.27E-06,0.000119537,0.001125232,0.096682217,0.006660125,0.001581233,0.001582485,602.0183641,2.115583296,0.70096043
3.72759372,2.39E-06,4.990954594,2.88E-07,1.80E-05,8.39E-05,7.41E-09,0.02481156,0.00018844,0.001545481,0.02326608,1.15E-06,0.000124701,0.001171123,0.104933188,0.007748434,0.001809081,0.001810719,571.765816,2.113128513,0.752577024
4.498432669,2.76E-06,4.989652525,2.69E-07,1.94E-05,8.98E-05,7.29E-09,0.024797934,0.000202066,0.001871422,0.022926512,1.04E-06,0.000129989,0.001217833,0.113956907,0.008998617,0.002069495,0.002071639,544.0394682,2.10831313,0.807159918
5.428675439,3.18E-06,4.988164549,2.52E-07,2.08E-05,9.61E-05,7.14E-09,0.024783515,0.000216485,0.002259205,0.022524309,9.40E-07,0.000135422,0.001265544,0.12385902,0.010433545,0.00236709,0.002369896,518.7107474,2.10124577,0.864905926
6.551285569,3.65E-06,4.986464736,2.35E-07,2.23E-05,0.000102755,6.98E-09,0.024768251,0.000231749,0.002718696,0.022049555,8.56E-07,0.000141024,0.001314467,0.134763195,0.012078918,0.002707053,0.002710723,495.6681868,2.092053581,0.926024828
7.906043211,4.18E-06,4.984524161,2.20E-07,2.40E-05,0.00010977,6.78E-09,0.024752088,0.000247912,0.003260622,0.021491466,7.82E-07,0.000146823,0.001364843,0.146814706,0.013963391,0.003095168,0.003099968,474.8187353,2.080878825,0.990739016
9.540954763,4.78E-06,4.982310853,2.06E-07,2.57E-05,0.000117183,6.56E-09,0.024734966,0.000265034,0.003896326,0.02083864,7.18E-07,0.000152851,0.001416957,0.160184941,0.016118622,0.003537829,0.003544102,456.0893975,2.067874049,1.059283837
11.51395399,5.44E-06,4.979789909,1.93E-07,2.75E-05,0.000125019,6.30E-09,0.024716825,0.000283175,0.004637332,0.020079493,6.62E-07,0.000159143,0.001471134,0.175076431,0.018579152,0.004042018,0.004050209,439.428351,2.053197009,1.131903483
13.89495494,6.16E-06,4.976923699,1.81E-07,2.94E-05,0.00013331,6.01E-09,0.024697599,0.000302401,0.005494671,0.019202928,6.15E-07,0.00016574,0.001527766,0.191730625,0.021382181,0.00461526,0.004625943,424.8090865,2.036998739,1.208858948
16.76832937,6.95E-06,4.973672436,1.69E-07,3.15E-05,0.000142089,5.68E-09,0.02467722,0.00032278,0.0064779,0.01819932,5.73E-07,0.00017269,0.00158731,0.210435292,0.02456699,0.005265513,0.005279425,412.2316847,2.019416039,1.290419422
20.23589648,7.78E-06,4.969994915,1.59E-07,3.37E-05,0.000151391,5.31E-09,0.024655619,0.000344381,0.007593764,0.017061854,5.38E-07,0.000180048,0.001650314,0.231535805,0.028174186,0.006001017,0.006019096,401.7281326,2.000554209,1.376868652
24.42053095,8.66E-06,4.965849608,1.49E-07,3.60E-05,0.000161258,4.90E-09,0.02463272,0.00036728,0.008844478,0.015788242,5.08E-07,0.000187874,0.001717427,0.255448123,0.032244582,0.006830078,0.00685351,393.3672641,1.980469166,1.468503906
29.47051703,9.55E-06,4.961196021,1.40E-07,3.84E-05,0.000171736,4.45E-09,0.024608447,0.000391553,0.010225661,0.014382785,4.83E-07,0.000196242,0.001789427,0.28267537,0.036817827,0.007760796,0.007791067,387.2616651,1.959144538,1.565636703
35.56480306,1.04E-05,4.955996096,1.31E-07,4.10E-05,0.000182877,3.96E-09,0.024582715,0.000417285,0.0117241,0.012858615,4.63E-07,0.000205232,0.001867242,0.313829667,0.041930967,0.008800781,0.008839736,383.5770673,1.936464,1.668600281
42.9193426,1.13E-05,4.950215519,1.23E-07,4.37E-05,0.000194737,3.45E-09,0.024555435,0.000444565,0.013315614,0.011239821,4.46E-07,0.000214942,0.001951983,0.34965931,0.04761711,0.009956896,0.010006798,382.5434353,1.912183808,1.777752883
51.79474679,1.21E-05,4.943824236,1.16E-07,4.65E-05,0.000207378,2.93E-09,0.024526509,0.000473491,0.014963611,0.009562898,4.33E-07,0.000225481,0.002044973,0.391084845,0.053904877,0.011235153,0.011298744,384.4683622,1.885908726,1.893489208
62.50551925,1.28E-05,4.936795819,1.09E-07,4.96E-05,0.000220865,2.40E-09,0.024495828,0.000504172,0.016618965,0.007876863,4.23E-07,0.000236978,0.002147785,0.439244478,0.060818994,0.012640836,0.012721411,389.7518882,1.857083998,2.016241242
75.43120063,1.34E-05,4.929104516,1.02E-07,5.27E-05,0.000235265,1.89E-09,0.024463274,0.000536726,0.018222143,0.006241131,4.17E-07,0.000249588,0.002262286,0.495554645,0.068383193,0.014179097,0.014280581,398.9014768,1.825015726,2.146487887
91.0298178,1.38E-05,4.920719667,9.64E-08,5.61E-05,0.000250647,1.43E-09,0.024428715,0.000571285,0.019708207,0.004720507,4.13E-07,0.000263493,0.002390674,0.561787043,0.076625754,0.015856067,0.015983119,412.5425358,1.788944189,2.284749954
109.8541142,1.42E-05,4.911597161,9.07E-08,5.96E-05,0.000267076,1.02E-09,0.024392014,0.000607986,0.02101485,0.003377164,4.12E-07,0.000278917,0.002535537,0.640167644,0.085587973,0.017680568,0.017838736,431.4185962,1.748187138,2.431578267
132.5711366,1.44E-05,4.901668836,8.52E-08,6.32E-05,0.00028461,6.77E-10,0.024353031,0.000646969,0.022092506,0.002260525,4.13E-07,0.000296136,0.002699913,0.733501779,0.095334703,0.019666233,0.019862187,456.3720765,1.702355279,2.587533803
159.985872,1.46E-05,4.890831793,8.01E-08,6.71E-05,0.000303303,4.16E-10,0.024311627,0.000688373,0.022914299,0.001397328,4.16E-07,0.000315489,0.002887365,0.845330655,0.105964937,0.021833641,0.022075523,488.2961046,1.651606017,2.753169159
193.0697729,1.47E-05,4.878941027,7.52E-08,7.12E-05,0.000323204,2.33E-10,0.024267671,0.000732329,0.023482294,0.000785377,4.21E-07,0.000337398,0.00310209,0.980123501,0.117619064,0.024211795,0.024509719,528.0576301,1.596841347,2.929014263
232.9951811,1.47E-05,4.865808042,7.05E-08,7.54E-05,0.000344358,1.16E-10,0.024221034,0.000778966,0.023827012,0.000394022,4.29E-07,0.000362378,0.003349052,1.143513813,0.130480099,0.026838392,0.027205118,576.4078247,1.539729153,3.115582505
281.1768698,1.48E-05,4.85120679,6.61E-08,8.00E-05,0.000366812,5.06E-11,0.024171586,0.000828414,0.023998973,0.000172613,4.38E-07,0.000391052,0.00363415,1.34258921,0.144767569,0.029758642,0.030210416,633.9251274,1.482454413,3.313390844
339.3221772,1.48E-05,4.834884523,6.20E-08,8.47E-05,0.000390618,1.87E-11,0.024119191,0.000880809,0.024054866,6.43E-05,4.50E-07,0.000424163,0.003964428,1.586251117,0.160726437,0.033023095,0.033580667,701.0428972,1.42724601,3.522986359
409.4915062,1.48E-05,4.816572445,5.81E-08,8.98E-05,0.000415839,5.72E-12,0.0240637,0.0009363,0.024043932,1.98E-05,4.63E-07,0.000462585,0.004348304,1.885665567,0.178616203,0.036685511,0.037375348,778.1785679,1.375878556,3.744965905
494.1713361,1.48E-05,4.795991015,5.44E-08,9.51E-05,0.000442544,1.39E-12,0.02400495,0.00099505,0.024000121,4.83E-06,4.78E-07,0.00050735,0.004795835,2.254830559,0.198705321,0.040801797,0.041657549,865.9088835,1.329387824,3.979982221
596.3623317,1.48E-05,4.772848163,5.09E-08,0.000100777,0.000470812,2.57E-13,0.023942764,0.001057236,0.023941867,8.98E-07,4.95E-07,0.000559671,0.005319003,2.711286822,0.221272668,0.045430367,0.046494687,965.0950705,1.288096462,4.228739202
719.685673,1.48E-05,4.746832913,4.77E-08,0.00010676,0.000500726,3.43E-14,0.023876957,0.001123043,0.023876836,1.21E-07,5.14E-07,0.000620976,0.005932052,3.27699939,0.246613545,0.050633417,0.051960272,1076.905518,1.251845658,4.491982305
868.5113738,1.48E-05,4.717608469,4.47E-08,0.000113089,0.000532374,3.12E-15,0.023807333,0.001192667,0.023807322,1.10E-08,5.35E-07,0.000692958,0.006651868,3.979440754,0.275046171,0.056478306,0.058135922,1202.767861,1.220247242,4.770490969
1048.113134,1.48E-05,4.684807266,4.18E-08,0.000119784,0.00056585,1.79E-16,0.02373369,0.00126631,0.023733689,6.37E-10,5.57E-07,0.000777615,0.007498437,4.852911317,0.306916126,0.063038547,0.065113136,1344.315194,1.19284585,5.065074504
1264.855217,1.48E-05,4.648028156,3.91E-08,0.000126864,0.000601247,5.86E-18,0.023655818,0.001344182,0.023655818,2.10E-11,5.81E-07,0.000877308,0.008495369,5.940139035,0.342598585,0.070394369,0.072994835,1503.359385,1.169190151,5.376570425
1469.387755,1.48E-05,4.615558711,3.71E-08,0.000132798,0.000630916,2.12E-19,0.023590548,0.001409452,0.023590548,7.65E-13,6.01E-07,0.000969426,0.009416549,6.995369747,0.374054713,0.076888258,0.080004988,1644.044875,1.152726444,5.637661162
1526.417967,1.48E-05,4.606835022,3.66E-08,0.000134347,0.000638664,6.45E-20,0.023573502,0.001426498,0.023573502,2.33E-13,6.07E-07,0.000994822,0.009670509,7.294202683,0.382499041,0.078632996,0.081896837,1681.886387,1.148856062,5.705843674
1842.069969,1.48E-05,4.560756277,3.43E-08,0.000142255,0.000678203,-4.06E-21,0.023486519,0.001513481,0.023486519,-1.46E-14,6.34E-07,0.001133433,0.011056621,8.980822781,0.427053034,0.087848745,0.091949452,1882.059132,1.131453142,6.053786773
2222.996483,1.48E-05,4.509285532,3.20E-08,0.000150608,0.000719968,2.49E-21,0.023394639,0.001605361,0.023394639,8.55E-15,6.63E-07,0.001296989,0.012692178,11.08106029,0.476724638,0.098142894,0.10329919,2106.218459,1.116627489,6.421314993
2682.695795,1.48E-05,4.451883217,3.00E-08,0.000159427,0.000764065,1.37E-22,0.023297629,0.001702371,0.023297629,3.64E-16,6.93E-07,0.001489995,0.014622239,13.69445127,0.532003856,0.109623357,0.116110711,2356.880716,1.104061348,6.809365584
2938.77551,1.48E-05,4.421735736,2.90E-08,0.00016388,0.000786325,-3.88E-23,0.023248656,0.001751344,0.023248656,-2.54E-16,7.08E-07,0.001595755,0.015679837,15.18218086,0.560987964,0.115652853,0.122905593,2488.801081,1.098694358,7.005261252
