"Macromol. Theory Simul. 2008, 17, 359–375, Table 3",,,,,,The solvent was not specified in the literature. ,,,,,,,,,,,,,,
3237.457543,1.48E-05,4.387979668,2.80E-08,0.000168735,0.000810602,3.33E-23,0.023195247,0.001804753,0.023195247,-1.27E-17,7.24E-07,0.001717713,0.016899423,16.94258243,0.593402472,0.122404066,0.130569004,2636.729609,1.093471418,7.218898073
3906.939937,1.48E-05,4.31698003,2.62E-08,0.000178553,0.000859693,3.32E-22,0.02308725,0.00191275,0.02308725,4.19E-18,7.57E-07,0.00198627,0.019584988,20.97308313,0.661447955,0.136603994,0.146881822,2948.600601,1.084606496,7.650894254
4408.163265,1.48E-05,4.267361874,2.51E-08,0.000185138,0.000892615,-1.06E-23,0.023014823,0.001985177,0.023014823,2.01E-17,7.78E-07,0.002183512,0.021557412,24.05507145,0.708896423,0.146527625,0.158442104,3167.124338,1.079720375,7.940608724
4714.866363,1.48E-05,4.238272142,2.45E-08,0.000188904,0.000911449,-1.06E-25,0.022973388,0.002026612,0.022973388,-2.27E-18,7.91E-07,0.002302769,0.022749982,25.96396112,0.736674316,0.152345572,0.16528224,3295.452647,1.077247041,8.106349218
5689.866029,1.48E-05,4.151235401,2.29E-08,0.000199812,0.000965987,8.47E-25,0.022853406,0.002146594,0.022853406,-2.09E-18,8.25E-07,0.00267542,0.026476492,32.12809748,0.819611862,0.16975292,0.186031935,3680.336142,1.071197472,8.586284879
5877.55102,1.48E-05,4.135319485,2.26E-08,0.000201753,0.000975694,-3.79E-25,0.022832052,0.002167948,0.022832052,-1.05E-18,8.31E-07,0.002746117,0.027183461,33.32899769,0.834750106,0.172936103,0.189873323,3750.865092,1.070272609,8.671703209
6866.48845,1.48E-05,4.055256162,2.14E-08,0.000211299,0.001023423,-1.16E-28,0.022727048,0.002272952,0.022727048,-4.25E-22,8.60E-07,0.003113661,0.030858896,39.71771078,0.910770421,0.188948768,0.209424055,4106.331925,1.066290067,9.091723345
7346.938776,1.48E-05,4.018420793,2.08E-08,0.000215578,0.00104482,4.97E-29,0.022679976,0.002320024,0.022679976,1.81E-22,8.73E-07,0.00328942,0.032616484,42.85268096,0.945672431,0.196315841,0.218548925,4270.250037,1.06477689,9.280011703
8286.427729,1.48E-05,3.949746069,2.00E-08,0.000223389,0.001083873,2.92E-28,0.022594061,0.002405939,0.022594061,1.10E-21,8.96E-07,0.003628289,0.036005176,49.02840477,1.01061957,0.210050786,0.235786622,4576.477077,1.062383777,9.623675825
8816.326531,1.48E-05,3.912766644,1.95E-08,0.000227512,0.001104489,3.17E-29,0.022548706,0.002451294,0.022548706,1.22E-22,9.08E-07,0.003816796,0.03789025,52.53303985,1.045525402,0.217446671,0.245193207,4741.704726,1.061291124,9.805097597
10000,1.48E-05,3.834159346,1.86E-08,0.000236105,0.001147454,1.68E-29,0.022454183,0.002545817,0.022454183,3.12E-23,9.32E-07,0.004231589,0.04203818,60.40203289,1.119569954,0.233168131,0.265487708,5093.695787,1.059347949,10.18319221
10285.71429,1.48E-05,3.815937723,1.84E-08,0.000238067,0.00115726,3.37E-29,0.02243261,0.00256739,0.02243261,1.34E-22,9.37E-07,0.004330483,0.043027118,62.30781159,1.136703739,0.236812455,0.270251479,5175.437188,1.058961534,10.26948453
11755.10204,1.48E-05,3.726299218,1.75E-08,0.000247563,0.001204745,3.92E-31,0.022328145,0.002671855,0.022328145,1.49E-24,9.62E-07,0.004832092,0.048043204,72.13306591,1.220824524,0.254740156,0.294022338,5578.356259,1.057353005,10.68735105
13224.4898,1.48E-05,3.642682068,1.68E-08,0.00025622,0.001248028,-3.66E-31,0.022232922,0.002767078,0.022232922,-1.39E-24,9.84E-07,0.005322846,0.052950751,81.97670715,1.29904335,0.271463586,0.31671767,5955.409187,1.056225262,11.06824425
14693.87755,1.48E-05,3.564208644,1.62E-08,0.000264191,0.001287883,-1.44E-30,0.022145243,0.002854757,0.022145243,-5.49E-24,1.00E-06,0.00580372,0.057759493,91.81452327,1.37222714,0.287158271,0.338495863,6310.316524,1.05542695,11.41896414
16163.26531,1.48E-05,3.490200812,1.56E-08,0.00027159,0.001324878,2.55E-30,0.022063853,0.002936147,0.022063853,9.77E-24,1.02E-06,0.006275506,0.062477352,101.6279543,1.441045309,0.301959838,0.359478639,6645.957131,1.054862212,11.74452582
17632.65306,1.48E-05,3.420123699,1.51E-08,0.000278504,0.001359445,-1.51E-30,0.021987806,0.003012194,0.021987806,-5.78E-24,1.04E-06,0.006738863,0.067110917,111.4026661,1.506025486,0.31597526,0.379761193,6964.603358,1.054472811,12.04871579
19102.04082,1.48E-05,3.353540999,1.46E-08,0.000284999,0.001391922,-1.66E-29,0.021916357,0.003083643,0.021916357,-6.39E-23,1.05E-06,0.007194353,0.071665814,121.1273322,1.567597784,0.3292918,0.39942111,7268.112359,1.054214228,12.33451245
20571.42857,1.48E-05,3.290092501,1.42E-08,0.00029113,0.001422579,-3.13E-33,0.021848914,0.003151086,0.021848914,-1.19E-26,1.06E-06,0.007642461,0.076146904,130.7929825,1.626117072,0.3419815,0.418522232,7558.019426,1.054054573,12.60428835
22040.81633,1.48E-05,3.229479494,1.39E-08,0.000296941,0.001451631,-6.21E-30,0.021784999,0.003215001,0.021784999,-2.37E-23,1.07E-06,0.00808361,0.080558384,140.3925541,1.681877439,0.354104101,0.437116936,7835.598207,1.053974807,12.85994987
23510.20408,1.48E-05,3.171445267,1.35E-08,0.000302467,0.00147926,-2.02E-30,0.021724215,0.003275785,0.021724215,-7.71E-24,1.08E-06,0.008518173,0.084904015,149.920354,1.735131462,0.365710947,0.455250508,8101.945858,1.053956223,13.1030867
24979.59184,1.48E-05,3.115770848,1.32E-08,0.000307738,0.001505616,3.53E-30,0.021666232,0.003333768,0.021666232,1.35E-23,1.09E-06,0.008946483,0.089187124,159.3718705,1.786094452,0.37684583,0.472961328,8357.99896,1.053986171,13.33501788
26448.97959,1.48E-05,3.062266208,1.30E-08,0.00031278,0.001530825,1.52E-30,0.021610772,0.003389228,0.021610772,5.82E-24,1.10E-06,0.009368841,0.093410701,168.7435118,1.834953148,0.387546758,0.49028268,8604.571438,1.054054338,13.55685931
27918.36735,1.48E-05,3.010765241,1.27E-08,0.000317614,0.001554996,-2.71E-30,0.021557597,0.003442403,0.021557597,-1.03E-23,1.11E-06,0.009785516,0.097577449,178.0324403,1.881870684,0.397846952,0.507243633,8842.375692,1.054152436,13.76956303
29387.7551,1.48E-05,2.961123799,1.25E-08,0.000322259,0.00157822,-9.86E-30,0.021506504,0.003493496,0.021506504,-3.77E-23,1.12E-06,0.010196751,0.101689802,187.2365099,1.92698853,0.40777524,0.523869054,9072.029736,1.054276412,13.9739338
30857.14286,1.48E-05,2.913213175,1.22E-08,0.00032673,0.001600577,-9.13E-30,0.021457319,0.003542681,0.021457319,-3.47E-23,1.12E-06,0.010602771,0.105749998,196.3540558,1.970432933,0.417357365,0.540181257,9294.086452,1.054421752,14.1706764
32326.53061,1.48E-05,2.866918145,1.20E-08,0.000331042,0.001622138,-1.64E-29,0.021409886,0.003590114,0.021409886,-6.33E-23,1.13E-06,0.011003781,0.109760097,205.3838241,2.012316848,0.426616371,0.556200277,9509.041597,1.054584154,14.36040994
33795.91837,1.48E-05,2.822135691,1.18E-08,0.000335207,0.001642964,8.54E-30,0.021364069,0.003635931,0.021364069,3.46E-23,1.14E-06,0.011399971,0.113721995,214.3249232,2.052741208,0.435572862,0.571943977,9717.338816,1.054760331,14.5436771
35265.30612,1.48E-05,2.778773561,1.16E-08,0.000339236,0.001663109,-6.41E-31,0.02131975,0.00368025,0.02131975,-2.43E-24,1.14E-06,0.011791515,0.117637443,223.1767791,2.09179634,0.444245288,0.587428247,9919.375564,1.054948143,14.72095392
36734.69388,1.48E-05,2.736746494,1.14E-08,0.000343139,0.001682622,2.70E-30,0.02127682,0.00372318,0.02127682,1.03E-23,1.15E-06,0.012178581,0.121508095,231.9390457,2.129565685,0.452650701,0.602668108,10115.52035,1.055143943,14.89267393
38204.08163,1.48E-05,2.695981349,1.13E-08,0.000346924,0.001701546,5.85E-30,0.021235188,0.003764812,0.021235188,2.23E-23,1.15E-06,0.012561312,0.125335409,240.6116103,2.16612078,0.46080373,0.617675637,10306.08794,1.055348798,15.05920225
39673.46939,1.48E-05,2.656407854,1.11E-08,0.000350598,0.001719919,6.17E-30,0.021194768,0.003805232,0.021194768,2.35E-23,1.15E-06,0.012939853,0.129120824,249.1945301,2.201530315,0.468718429,0.632463133,10491.3825,1.055560243,15.22088445
41142.85714,1.48E-05,2.617962189,1.09E-08,0.00035417,0.001737776,-2.69E-31,0.021155482,0.003844518,0.021155482,-1.03E-24,1.16E-06,0.013314338,0.132865674,257.6880195,2.235856641,0.476407562,0.647041688,10671.68042,1.055776619,15.3780295
42612.2449,1.48E-05,2.580586371,1.08E-08,0.000357644,0.00175515,-7.27E-31,0.021117261,0.003882739,0.021117261,-2.76E-24,1.16E-06,0.013684891,0.136571201,266.0924148,2.269156375,0.483882726,0.661421264,10847.23279,1.055997003,15.53091409
44081.63265,1.48E-05,2.544226842,1.07E-08,0.000361028,0.001772067,6.11E-30,0.021080042,0.003919958,0.021080042,2.32E-23,1.16E-06,0.014051629,0.140238578,274.4081592,2.301481787,0.491154632,0.675611104,11018.2719,1.056220425,15.67979041
45551.02041,1.48E-05,2.508834643,1.05E-08,0.000364326,0.001788556,9.22E-30,0.021043768,0.003956232,0.021043768,3.50E-23,1.17E-06,0.014414661,0.1438689,282.6357991,2.332880628,0.498233071,0.689619553,11185.01002,1.056446504,15.82488551
47020.40816,1.48E-05,2.474363153,1.04E-08,0.000367542,0.001804638,6.31E-30,0.021008386,0.003991614,0.021008386,2.41E-23,1.17E-06,0.014774094,0.147463228,290.7759296,2.363398355,0.505127369,0.703454861,11347.65014,1.056673667,15.96641394
48489.79592,1.48E-05,2.440770495,1.03E-08,0.000370682,0.001820337,-1.04E-30,0.020973849,0.004026151,0.020973849,-3.79E-24,1.17E-06,0.015130025,0.151022539,298.829242,2.393075768,0.511845901,0.717124146,11506.37412,1.056901813,16.10456486
49959.18367,1.48E-05,2.40801735,1.02E-08,0.000373749,0.001835672,-2.55E-31,0.020940111,0.004059889,0.020940111,-8.46E-25,1.18E-06,0.015482548,0.154547769,306.7964726,2.421951158,0.51839653,0.73063418,11661.35308,1.057130495,16.23951423
51428.57143,1.48E-05,2.376067908,1.00E-08,0.000376747,0.001850662,2.14E-31,0.020907135,0.004092865,0.020907135,7.68E-25,1.18E-06,0.01583175,0.158039792,314.6784255,2.450059372,0.524786418,0.743990931,11812.74261,1.057360081,16.37141947
52897.95918,1.48E-05,2.344887924,9.93E-09,0.000379679,0.001865322,-6.93E-31,0.020874882,0.004125118,0.020874882,-2.59E-24,1.18E-06,0.016177717,0.161499454,322.4759218,2.477433726,0.531022415,0.757200305,11960.692,1.057590162,16.5004305
54367.34694,1.48E-05,2.314445342,9.83E-09,0.000382548,0.001879669,-7.28E-30,0.020843319,0.004156681,0.020843319,-2.77E-23,1.18E-06,0.016520527,0.164927561,330.1898129,2.504105389,0.537110932,0.770267847,12105.34117,1.057820344,16.62668626
55836.73469,1.48E-05,2.28471019,9.73E-09,0.000385358,0.001893718,-1.08E-29,0.020812411,0.004187589,0.020812411,-4.10E-23,1.18E-06,0.016860259,0.168324879,337.8209783,2.530103488,0.543057962,0.783198728,12246.82099,1.058050338,16.7503152
57306.12245,1.48E-05,2.255654359,9.63E-09,0.000388111,0.001907482,1.92E-30,0.020782131,0.004217869,0.020782131,7.61E-24,1.18E-06,0.017196985,0.171692142,345.370319,2.555455329,0.548869128,0.7959978,12385.25432,1.058279903,16.87143663
58775.5102,1.48E-05,2.227251335,9.54E-09,0.000390809,0.001920973,3.95E-30,0.02075245,0.00424755,0.02075245,1.50E-23,1.19E-06,0.017530776,0.17503005,352.8387461,2.580186653,0.554549733,0.808669672,12520.7572,1.058508734,16.9901622
60244.89796,1.48E-05,2.199476437,9.44E-09,0.000393455,0.001934204,-6.07E-30,0.020723342,0.004276658,0.020723342,-2.37E-23,1.19E-06,0.017861698,0.17833927,360.2271938,2.604321408,0.560104713,0.821218564,12653.43758,1.058736805,17.10659445
61714.28571,1.48E-05,2.172306316,9.36E-09,0.000396052,0.001947186,-5.79E-30,0.020694783,0.004305217,0.020694783,-2.13E-23,1.19E-06,0.018189815,0.181620442,367.5366045,2.627882238,0.565538737,0.833648491,12783.39773,1.058964033,17.22082955
63183.67347,1.48E-05,2.145719012,9.27E-09,0.0003986,0.001959927,7.61E-32,0.020666751,0.004333249,0.020666751,2.92E-25,1.19E-06,0.018515189,0.184874178,374.7679209,2.650890431,0.570856198,0.845963212,12910.73386,1.059190386,17.3329574
64653.06122,1.48E-05,2.119692465,9.19E-09,0.000401103,0.00197244,-1.01E-31,0.020639224,0.004360776,0.020639224,-3.86E-25,1.19E-06,0.018837881,0.188101099,381.922135,2.673367365,0.576061507,0.858166898,13035.54327,1.059414975,17.44306774
66122.44898,1.48E-05,2.094207919,9.11E-09,0.000403561,0.001984732,-6.79E-30,0.020612182,0.004387818,0.020612182,-2.58E-23,1.19E-06,0.019157946,0.191301744,389.0001567,2.6953312,0.581158416,0.870262512,13157.90793,1.05963836,17.55123589
67591.83673,1.48E-05,2.069248212,9.03E-09,0.000405977,0.001996811,-1.27E-30,0.020585608,0.004414392,0.020585608,-4.84E-24,1.19E-06,0.019475433,0.194476614,396.0028619,2.716798549,0.586150358,0.882252554,13277.90263,1.059861413,17.65753037
69061.22449,1.48E-05,2.044794302,8.95E-09,0.000408352,0.002008685,-9.87E-30,0.020559484,0.004440516,0.020559484,-3.76E-23,1.19E-06,0.019790398,0.19762627,402.9312618,2.737787837,0.59104114,0.894140714,13395.61162,1.060083256,17.76202671
70530.61224,1.48E-05,2.02082905,8.88E-09,0.000410687,0.002020363,-1.01E-29,0.020533793,0.004466207,0.020533793,-3.85E-23,1.19E-06,0.020102894,0.200751225,409.786317,2.758315638,0.59583419,0.905930064,13511.11047,1.060303654,17.86479239
72000,1.48E-05,1.997336684,8.81E-09,0.000412985,0.002031851,-2.19E-30,0.020508519,0.004491481,0.020508519,-8.35E-24,1.19E-06,0.020412967,0.20385196,416.5689609,2.778397195,0.600532663,0.917623277,13624.46853,1.06052271,17.96588894
